isbn,title,author,publisher,issue_year,price,category_id,thumbnail
07047-2016-07,Newton (ニュートン) 創刊35周年　元素のすべてと周期表　前代未聞の熊本地震と注目すべき日本の活断層,編集部,ニュートンプレス,2016,,10,
0720646681006,2017年度基幹技術研修 PIT　はじめての機械学習--機械学習の初歩から生産現場への応用まで--,人材開発部,人事センター,2017,,16,
0741888452655,2017年度基幹技術研修　MDE　メカ実践４－A　外観検査者研修--ドットゲージを正しく使えますか？--,人材開発部,人事センター,2017,,16,
0761207916466,HDMIケーブル３ｍ　C-SC023,***No Record***,***No Record***,***No Record***,,17,
07627,PHP 2016-08 もう迷わない後悔しない「決める力」を持つ！,編集部,PHP研究所,2016,,10,
07701,文藝春秋 2016-06 強欲資本主義と決別せよ,編集部,（株）文藝春秋,2016,,10,
07702,文藝春秋NEXT (ネクスト) 2012-04 「日本人の底力」危機を生き抜く！,編集部,（株）文藝春秋,2012,,10,
07899-2015-10,ブレーン 言葉力が光るラジオCM,編集部,（株）宣伝会議,2015,,10,
07899-2016-02,ブレーン 読者が選ぶ広告ランキング　2016クリエイティブ予測,編集部,（株）宣伝会議,2016,,10,
07899-2016-03,ブレーン 今一緒に仕事をしたいクリエーター,編集部,（株）宣伝会議,2016,,10,
07899-2016-04,ブレーン オンスクリーンのアートディレクション,編集部,（株）宣伝会議,2016,,10,
07899-2016-05,ブレーン 話題になる・拡散される動画は何が違うのか？,編集部,（株）宣伝会議,2016,,10,
07899-2016-06,ブレーン 企業を進化させるIoTのクリエイティブ,編集部,（株）宣伝会議,2016,,10,
07899-2016-07,ブレーン 壮観55周年特別企画・クリエイティブ未来会議,編集部,（株）宣伝会議,2016,,10,
07899-2016-08,ブレーン トップクリエイターのすごい打ち合わせ,編集部,（株）宣伝会議,2016,,10,
07899-2016-09,ブレーン カンヌライオンズに見る世界の広告100,編集部,（株）宣伝会議,2016,,10,
07899-2016-10,ブレーン 拡散する時代　人を動かす表現はテレビCMに学べ,編集部,（株）宣伝会議,2016,,10,
07899-2016-11,ブレーン 地域の可能性を引き出すクリエイティブ,編集部,（株）宣伝会議,2016,,10,
07899-2016-12,ブレーン 企業・社会を変えるクリエイティブプロジェクト,編集部,（株）宣伝会議,2016,,10,
07899-2017-01,ブレーン 読者が選ぶブレーン広告グランプリ,編集部,（株）宣伝会議,2017,,10,
0821830790583,2017年度基幹技術研修　UIA　アクセシビリティって何？--高齢者にも障がい者にも使いやすい製品・サービスを求める法規制への対応について--,人材開発部,人事センター,2017,,16,
0845116099889,ソニーCCD井深賞受賞開発30周年記念誌　Double Splendor,松本博行　監,ソニー株式会社SNC映像デバイス事業本部,2000,,19,
0861297623570,ORIGINALS,Adam Grant,Penguin Books,2022,,23,
1002205426040,2017年度基幹技術研修　AUV　３D/オブジェクトオーディオ技術,人材開発部,人事センター,2017,,16,
1032106544146,I-WAGON-A,PORT みなとみらい,PORT みなとみらい,2022,,27,
1038676866249,2017年度基幹技術研修　ISL　CIS/LSIの量産テスト技術--基礎知識からイメージセンサーのテスト、最新技術動向まで--,人材開発部,人事センター,2017,,16,
1049549233251,USBケーブル [ Lightning/Type-C/micro USB] 　B-A008-1,PORTみなとみらい,AUKEY(オーキー),2021,,20,
114-2019-08MNT,APS www.aps-web.jp 2019-08技術の粋を集めたSPRESENSEの挑戦　世界のソニーが掲げる、IoT時代の新戦略,編集部,インスケイプ株式会社,2019,,19,
1194071469975,マイクスピーカー,PORT品川,Jabra,2018,,17,
1196268415612,マイクスピーカー　C-SC-004-1,***No Record***,Jabra,***No Record***,,17,
1209263837130,マイクスピーカー　B-A018－１,PORTみなとみらい,Jabra,2021,,20,
1279220443025,2017年度基幹技術研修　QCT　品質工学１：機能性評価,人材開発部,人事センター,2017,,16,
1292946914269,済中物語　時代の中心へ、地域の中心へ、「済生の精神」を未来につなぐ,株式会社出版文化社,東京都済生会中央病院,2015,,12,
1310935120169,マウス（有線）　C-SC-003-2,***No Record***,***No Record***,***No Record***,,17,
13223-2011-06,COURRiER Japon（クーリエ ジャポン） ほんとうの「原子力」の話,編集部,講談社,2011,,10,
13223-2011-11,COURRiER Japon（クーリエ ジャポン） 世界を「もっと良くする」仕事,編集部,講談社,2011,,10,
13223-2015-08,COURRiER Japon（クーリエ ジャポン） 21世紀の「ホワイト企業」,編集部,講談社,2015,,10,
13223-2015-11,COURRiER Japon（クーリエ ジャポン） 「海外」で勝つ。,編集部,講談社,2015,,10,
1383322994815,2017年度基幹技術研修 PIT　初心者のためのUV接着講座,人材開発部,人事センター,2017,,16,
1384094722697,2017年度基幹技術研修　MDE　メカ入門１　製図基礎--初めての製図--,人材開発部,人事センター,2017,,16,
1388123141340,LANケーブル　7m　C-SC002-5,***No Record***,***No Record***,***No Record***,,17,
14 86071,一橋ビジネスレビュー 2012-60-3 日本のものづくりの底力　ジェームス・ダイソン,編集部,一橋大学イノベーション研究センター・東洋経済新報社,2012,,10,
14067,散歩の達人 2011-09 品川　大崎　大井町　北品川　新馬場　青物横丁　鮫洲　立会川,編集部,交通新聞社,2011,,10,
1430286285646,2017年度基幹技術研修　SFT　ソフトウェアアーキテクチャ基礎,人材開発部,人事センター,2017,,16,
1433955180772,平成２９年度版　危険物取扱者　試験例題集　乙種第四類,一般財団法人全国危険物安全協会,株式会社ぎょうせい,2017,,6,
1441534844089,2017年度基幹技術研修 SFT　クラウドを活用したIoT/エッジコンピューティングのご紹介--AWSにおける最新事例とアーキテクチャ--,人材開発部,人事センター,2017,,16,
1457778806848,2017年度基幹技術研修 CST　ビッグデータ　溜めなきゃ使えない　実践ノウハウ--稼働実績４年間、100テラバイト超のビッグデータを活用しているNewsSuiteサービスが実践する、将来に活用できるデータ蓄積ノウハウ--,人材開発部,人事センター,2017,,16,
1465713079229,平成２９年度版　危険物取扱必携　法令編,一般財団法人全国危険物安全協会,株式会社ぎょうせい,2017,,6,
1465886796821,2017年度基幹技術研修　QCT　品質工学３：多変量解析入門,人材開発部,人事センター,2017,,16,
15312-2016-05,WIRED (ワイアード) BODY & HEALTH 病気にならないカラダ,編集部,コンデナスト・ジャパン,2016,,10,
15312-2016-11,WIRED (ワイアード)  The Power of Blockchain ブロックチェーンは世界を変える,編集部,コンデナスト・ジャパン,2016,,10,
15312-2017-07,WIRED (ワイアード)  Making Things ものづくりの未来,編集部,コンデナスト・ジャパン,2017,,10,
15611-2015-01,宣伝会議 顧客とつながる　カスタマーエクスペリエンス　NYに見る広告ビジネスの未来,編集部,（株）宣伝会議,2015,,10,
15611-2015-06,宣伝会議 有力企業80社の宣伝部長が考える消費の変化に打ち勝つ！次なる戦略　企業とクリエイティブの基本コンセプト開発,編集部,（株）宣伝会議,2015,,10,
15611-2015-07,宣伝会議 付加価値の正体とは何か？コモディティ時代に選ばれるブランド,編集部,（株）宣伝会議,2015,,10,
15611-2015-08,宣伝会議 人は情報を食べている！？食に見る、消費者の知覚の不思議,編集部,（株）宣伝会議,2015,,10,
15611-2016-02,宣伝会議 読めばアイデアが湧く！メディア・テクノロジー・クリエイティブ　注目トレンド2016,編集部,（株）宣伝会議,2016,,10,
15611-2016-03,宣伝会議 透明性、リアルタイム、共創・・デジタル時代の新ブランド戦略,編集部,（株）宣伝会議,2016,,10,
15611-2016-04,宣伝会議 テクノロジーだけに頼らない！ダイバーシティ時代を勝ち抜く緻密ターゲティングと市場開拓,編集部,（株）宣伝会議,2016,,10,
15611-2016-05,宣伝会議 ネットで話題！で成果は出た？過熱する自治体プロモーション,編集部,（株）宣伝会議,2016,,10,
15611-2016-06,宣伝会議 日本の広告最前線　宣伝部門の組織と実態2016,編集部,（株）宣伝会議,2016,,10,
15611-2016-07,宣伝会議 どうしたら人は動くのか？ロングセラー商品の活性化アイデア,編集部,（株）宣伝会議,2016,,10,
15611-2016-08,宣伝会議 デジタル広告のリスクマネジメント　地方創生とブランディング,編集部,（株）宣伝会議,2016,,10,
15611-2016-10,宣伝会議 第54回宣伝会議賞　課題発表　マーケティングはメタで動かす,編集部,（株）宣伝会議,2016,,10,
15611-2016-12,宣伝会議 企業広告の想像を絶する！？効果,編集部,（株）宣伝会議,2016,,10,
15611-2017-02,宣伝会議 デジタルでイノベーション‼　時代を拓く45社のブランド構想,編集部,（株）宣伝会議,2017,,10,
15611-2017-04,宣伝会議 小売り・メーカーの販売戦略に生かす！Amazon研究,編集部,（株）宣伝会議,2017,,10,
15611-2017-05,宣伝会議 社会が変われば、仕事も変わる！超・コピーライター,編集部,（株）宣伝会議,2017,,10,
15611-2017-07,宣伝会議 企業経営の力　先進企業はここが違う！約40社の宣伝部長の新・役割,編集部,（株）宣伝会議,2017,,10,
15611-2017-09,宣伝会議 人の心を動かす100のインサイト,編集部,（株）宣伝会議,2017,,10,
15611-2017-10,宣伝会議 第55回「宣伝会議賞」課題発表　どう変わった？広告業界の働き方,編集部,（株）宣伝会議,2017,,10,
15611-2017-11,宣伝会議 第55回「宣伝会議賞」協賛企業からの誌上オリエンテーション　シニア市場の現実,編集部,（株）宣伝会議,2017,,10,
15611-2018-03,宣伝会議 復活を遂げたブランド戦略,編集部,（株）宣伝会議,2018,,10,
15611-2018-04,宣伝会議 社会変化のショーケース「百貨店」の課題・消費の未来,編集部,（株）宣伝会議,2018,,10,
15611-2018-05,宣伝会議 進化するデータ　デジタル時代の「テレビCM」活用,編集部,（株）宣伝会議,2018,,10,
15611-2018-06,宣伝会議 ミレニアル世代が親になったら？新・子育て世代の「家計と消費」,編集部,（株）宣伝会議,2018,,10,
15611-2018-07,宣伝会議 注目44社の宣伝部長に聞く、変わる広告戦略の今,編集部,（株）宣伝会議,2018,,10,
15611-2018-08,宣伝会議 鍵はリアルタイム＆パーソナライズ　気象環境とマーケティング,編集部,（株）宣伝会議,2018,,10,
15611-2018-10,宣伝会議 第56回「宣伝会議賞」課題発表　「広告ビジネス2.0」広告、メディア、クリエイティブのアップデート,編集部,（株）宣伝会議,2018,,10,
15612,編集会議 2014-11 コンテンツマーケティングで広がる編集者の可能性,編集部,株式会社宣伝会議,2014,,10,
1582610003656,2017年度基幹技術研修　SFT　ソフトウェアアーキテクチャ設計実践,人材開発部,人事センター,2017,,16,
1592919659528,レーザーポインター B-A010-2,PORTみなとみらい,logicool,2021,,20,
1593262630926,HASSELBLAD H SYSTEM,ハッセルブラッド日本総代理店,***No Record***,***No Record***,,12,
1596597013395,2017年度基幹技術研修 DEV　理解する最新ディスプレイ（LCD/OLED/e-paper/Eyeware/フレキシブル）-デバイスの特徴から最新技術動向まで-,人材開発部,人事センター,2017,,16,
16 63341,EdyとFeliCa技術　知っておきたい31の基本 2007-06 パソコンでも使える　事例満載！電子マネービジネスの世界,編集部,スマートデジタルライフ推進プロジェクト事務局,2007,,10,
1602651940427,ピピタイマー B-A012-1,PORTみなとみらい,ドリテック,2021,,20,
1615631940392,2017年度基幹技術研修 PIT　製造プロセス変動余長管理--量産ラインに根付いたEES・FDC技術--,人材開発部,人事センター,2017,,16,
1643179507444,電源タップ 4個口 5m B-A00３-2,PORTみなとみらい,ELECOM,2021,,20,
1652161101246,2017年度基幹技術研修　AUV　ビデオコーデックの実践--エンコード高画質化と差異化用コーデック--,人材開発部,人事センター,2017,,16,
1668305034290,人材育成４つの方程式・人を育てると云うこと。,藤本雅彦,株式会社サイエンティア,200X,,12,
16721-2015-10,販促会議 動画！新活用,編集部,（株）宣伝会議,2015,,10,
16721-2016-03,販促会議 通行客が振り向く　交通広告・OOH,編集部,（株）宣伝会議,2016,,10,
16721-2016-05,販促会議 活躍する実務家100人が明かした売上アップ秘策！　販促コンペ課題発表,編集部,（株）宣伝会議,2016,,10,
16721-2016-06,販促会議 「店員力」で売り上げを伸ばす　販促コンペ誌上オリエン,編集部,（株）宣伝会議,2016,,10,
16721-2016-07,販促会議 インバウンドX地方創生　急がれる販促体制の整備,編集部,（株）宣伝会議,2016,,10,
16721-2016-08,販促会議 集客コンテンツ一挙紹介　いま、消費者を魅きつけるモノ・コト,編集部,（株）宣伝会議,2016,,10,
16721-2016-09,販促会議 ブランド差別化で大手・競合に勝つ　ECの分水嶺はクリエイティブ,編集部,（株）宣伝会議,2016,,10,
16721-2016-10,販促会議 売り上げ・企画成果を左右するセールスコピーGood&Bad,編集部,（株）宣伝会議,2016,,10,
16721-2016-11,販促会議 セールスプロモーションと広報　成功の因果関係,編集部,（株）宣伝会議,2016,,10,
16721-2016-12,販促会議 販促予算「何に」「いくら」「どう使う」,編集部,（株）宣伝会議,2016,,10,
16721-2017-01,販促会議 デジタル販促　瞬間を捉えて売上増,編集部,（株）宣伝会議,2017,,10,
16721-2017-02,販促会議 2017-02 個客をつかむ　データの使い方・分析法を大公開,編集部,（株）宣伝会議,2017,,10,
17107,日経ビジネスアソシエ  2018-07 稼げる人たちのヒミツ,編集部,日経BP,2018,,10,
17108,日経ビジネス　アソシエ　臨時増刊 2014-01 2014　徹底予測,編集部,日経BP社,2014,,10,
1731421915289,HDMIケーブル３ｍ,***No Record***,***No Record***,***No Record***,,17,
17511-2005-04,HiVi (ハイヴィ) 2005-04 新学期だ、サラウンドを始めよう　AVスタイル,編集部,ステレオサウンド,2005,,10,
17511-2005-07,HiVi (ハイヴィ) 2005-07,編集部,ステレオサウンド,2005,,10,
17511-2006-02,HiVi (ハイヴィ) 2006-02 決定！第21回HiViグランプリ　2005年のナンバーワンAV機器はどれだ？,編集部,ステレオサウンド,2006,,10,
17861-2016-05,Forbes JAPAN(フォーブス ジャパン) 地方発「逆転のアイデア」３３選,編集部,株式会社アトミックスメディア,2016,,10,
17861-2016-10,Forbes JAPAN(フォーブス ジャパン) 「健康X医療Xテクノロジー」の衝撃　その治療、時代遅れです,編集部,株式会社アトミックスメディア,2016,,10,
17861-2016-11,Forbes JAPAN(フォーブス ジャパン) 「社長力」ランキング2016　凄い経営者１００選,編集部,株式会社アトミックスメディア,2016,,10,
17861-2017-05,Forbes JAPAN(フォーブス ジャパン) 「働き方」のテクノロジー,編集部,株式会社アトミックスメディア,2017,,10,
1786254073157,アップル用充電ケーブル,***No Record***,***No Record***,***No Record***,,17,
1804956688142,デジタルカメラ C-SC015-1,***No Record***,***No Record***,***No Record***,,17,
1830899222379,2017年度基幹技術研修　MLA　Deep Learning入門,人材開発部,人事センター,2017,,16,
18325,月刊BOSS 2016-06 「Fin Tech」バブルがやって来た！,編集部,経営塾,2016,,10,
1836108165364,2017年度基幹技術研修 PIT　基礎からシミュレーション技術までをトータルで学ぶ、EMC設計技術,人材開発部,人事センター,2017,,16,
19 80554,月刊マーチャンダイジング 2010-09 アジア成長市場へ進路をとれ　Dg.S最新事情,編集部,株式会社ニュー・フォーマット研究所,2010,,10,
1915616774045,目からウロコの英語とタイプの常識,原田節夫,財団法人　日本規格協会IEC活動推進会議,2007,,8,
1919728343069,essentialism,GREG MCKEOWN,Currency,2022,,23,
1928271491783,レーザーカッター(TrotecSpeedy300-60W),PORT みなとみらい,PORT みなとみらい,2022,,26,
1936577672555,HASSELBLAD V SYSTEM,ハッセルブラッド日本総代理店,***No Record***,***No Record***,,12,
1942638006060,HDMIケーブル1m  C-SC-001-2,PORT,***No Record***,***No Record***,,17,
1969957786368,2017年度基幹技術研修　MLA　Deep Learningプログラミング実習,人材開発部,人事センター,2017,,16,
1976401154126,HDMIケーブル　2m B-A009-2,PORTみなとみらい,SONY,2021,,20,
1996107353063,2017年度基幹技術研修　MDE　CAE入門４サウンド/ノイズ--Simulationで音が可視化できるんです！--,人材開発部,人事センター,2017,,16,
20 63341,Topline 2016-03 vol.6 経営視点で読み解くITトレンドの実像　ビジネストランスフォーメーション～デジタル革新から始まるビジネスの未来,編集部,日本Microsoft株式会社,2016,,10,
2003038295786,SDカード（容量２５６GB）　C-SC010-2,***No Record***,***No Record***,***No Record***,,17,
20032,エコノミスト 2017-08 もうかるシェア経済,編集部,毎日新聞出版（株）,2017,,10,
20034-2012-05,週刊　エコノミスト 自由化で料金は下がる電力競争時代,編集部,毎日新聞社,2012,,10,
20034-2016-06,週刊　エコノミスト もう乗れるぞ！自動運転・EV,編集部,毎日新聞社,2016,,10,
2003722423042,電源タップ　4個口　2.5ｍ B-A00４-1,PORTみなとみらい,ELECOM,2021,,20,
20131,週刊東洋経済 2011-02 まだ間に合う！糖尿病,編集部,（株）東洋経済新報社,2011,,10,
20132- 2012-09,週刊　東洋経済 貧食の時代　壊れるニッポンの食,編集部,東洋経済新報社,2012,,10,
20132-2011-07,週刊　東洋経済 【ニュースがわかる】経営学,編集部,東洋経済新報社,2011,,10,
20132-2014-02,週刊　東洋経済 強い農業　瀬戸際のデジカメ,編集部,東洋経済新報社,2014,,10,
20132-2018-07,週刊　東洋経済 すごいベンチャー100,編集部,東洋経済新報社,2018,,10,
20133-2011-02,週刊　東洋経済 テレビ新世紀　進化しないテレビ局は滅びる！,編集部,東洋経済新報社,2011,,10,
20133-2013-06,週刊　東洋経済 起業100のアイデア,編集部,東洋経済新報社,2013,,10,
20134-2016-09,週刊　東洋経済 納得のいく死に方　医者との付き合い方,編集部,東洋経済新報社,2016,,10,
20134-2017-03,週刊　東洋経済 銀行マンの運命,編集部,東洋経済新報社,2017,,10,
20135-2016-01,週刊東洋経済 ソニー　熱狂なき復活。,編集部,東洋経済新報社,2016,,10,
20135-2017-09,週刊東洋経済 定年後の仕事選び,編集部,東洋経済新報社,2017,,10,
2020-07OTR,2020-07,編集部,***No Record***,2020,,10,
20241,週刊ダイヤモンド 2012-02 さよなら！伝説のソニー　なぜアップルになれなかったのか　ストリンガー体制崩壊へのカウントダウン,編集部,（株）ダイヤモンド社,2012,,10,
20242,週刊　ダイヤモンド 2010-11 宗教とカネ,編集部,株式会社ダイヤモンド社,2010,,10,
20243-2017-02,週刊 ダイヤモンド 儲かる農業,編集部,ダイヤモンド社,2017,,10,
20243-2018-04,週刊 ダイヤモンド 会社の仕組み,編集部,ダイヤモンド社,2018,,10,
20244,週刊ダイヤモンド 2014-03 速効！「営業」学　一流講師陣の集中講義,編集部,ダイヤモンド社,2014,,10,
20245,週刊ダイヤモンド 2013-08 人気医療の罠　アンチエイジング　遺伝子治療,編集部,株式会社ダイヤモンド社,2013,,10,
2032204264682,"CREATIVITY,INC.",ED CATMULL,Random House,2022,,23,
2032436484466,新日本史,家永三郎,冨山房,1947,,2,
2078349648319,剛拳児13,松田隆智・藤原芳秀,天下人出版社,***No Record***,,12,
2087734585223,USBケーブル [Type-B]　2m B-A014-1,PORTみなとみらい,***No Record***,2021,,20,
2098176609924,2017年度基幹技術研修　ODE　カメラ光学系,人材開発部,人事センター,2017,,16,
2099195864519,2017年度基幹技術研修 SFT　実践！OSS開発コミュニティ連携（１）「OSS開発コミュニティとの交流の心構え」②,人材開発部,人事センター,2017,,16,
21011-2015-07,AERA 好景気うつ「100万人」時代,編集部,朝日新聞出版,2015,,10,
21011-2017-08,AERA お葬式はもういらない,編集部,朝日新聞出版,2017,,10,
21012-2014-09,AERA 変わらなければ成功も幸せもない,編集部,朝日新聞出版,2014,,10,
21012-2016-04,AERA 名経営者　仕事の哲学,編集部,朝日新聞出版,2016,,10,
21013-2015-05,AERA やる気なし部下に困っていませんか？,編集部,朝日新聞出版,2015,,10,
21013-2015-12,AERA ヒットの源流2015,編集部,朝日新聞出版,2015,,10,
21015,AERA 2016-05 共働きをラクにする方法,編集部,朝日新聞出版,2016,,10,
2135885022921,2017年度基幹技術研修 PIT　先端レーザープロセス--半導体・ディスプレイ・医療応用から３Dプリンティングまで--,人材開発部,人事センター,2017,,16,
2150492732966,電源タップ　4個口丸型　2.5m B-A001-4,PORTみなとみらい,***No Record***,2021,,20,
2165802642839,剛拳児2,松田隆智・藤原芳秀,天下人出版社,***No Record***,,12,
22 38955,FeliCa & NFC完全ガイド 2015-10 Touchでつながる未来を徹底網羅,編集部,株式会社TIプランニング,2015,,10,
2218947077050,2017年度基幹技術研修　ISL　セット設計に生かせる　イメージセンサ・モジュールの基礎,人材開発部,人事センター,2017,,16,
2226594531084,Cyber-shot　logo guideline,"IT&Mobile Solutions Network Company, Sony Corp.",Sony Corporation,2004,,19,
2238070125551,2017年度基幹技術研修 WCB　デジタル信号処理/誤り訂正の基礎理論　入門編,人材開発部,人事センター,2017,,16,
2246265600123,Management Basics,IBM&Sony HR?,IBM,2006,,3,
2256619330844,剛拳児5,松田隆智・藤原芳秀,天下人出版社,***No Record***,,12,
23 80554,カード決裁＆セキュリティのすべて 2014-03 2020年のキャッシュレス化に向け決裁の利便性とセキュリティ対策を凝縮,編集部,株式会社TIプランニング,2014,,10,
2305190428726,電源タップ 4個口 5m B-A003-3,PORTみなとみらい,ELECOM,2021,,20,
2324968438535,ソニー　21世紀の生産戦略 -デジタル時代の最強システム-,大曽根幸三　監,ソニー株式会社　EMCS推進室,2000,,19,
23333,リンネル(サライ） 2008-06,編集部,宝島社,2018,,10,
2359973150239,2017年度基幹技術研修　AUV　MP4ファイルフォーマット応用とMPEG-DASH,人材開発部,人事センター,2017,,16,
2372061250742,2017年度基幹技術研修　UIA　マネタイズと使いやすさの両立をめざしたサービスアプリUI設計,人材開発部,人事センター,2017,,16,
2383203909126,2017年度基幹技術研修　AUV　AR/VR技術の概説および応用・最新事例,人材開発部,人事センター,2017,,16,
24 63341,ハートページ 2015-03 川崎市の「介護保険総合案内」「介護サービス事業者リスト」,編集部,株式会社プロメディカルケア,2015,,10,
24034,Tarzan(ターザン) 2017-04 運動不足に効く特集,編集部,マガジンハウス,2017,,10,
